36 0 1 1 0.00
0 2093.50d0 0.16d0 0
0 2228.77d0 0.18d0 0
0 2362.77d0 0.25d0 0
0 2496.50d0 0.22d0 0
0 2629.66d0 0.21d0 0
0 2764.13d0 0.21d0 0
0 2899.01d0 0.19d0 0
0 3033.74d0 0.21d0 0
0 3168.61d0 0.25d0 0
0 3303.54d0 0.30d0 0
0 3439.01d0 0.42d0 0
0 3574.90d0 0.55d0 0
1 2156.78d0 0.17d0 0
1 2291.98d0 0.14d0 0
1 2425.59d0 0.19d0 0
1 2559.20d0 0.22d0 0
1 2693.33d0 0.21d0 0
1 2828.10d0 0.21d0 0
1 2963.31d0 0.20d0 0
1 3098.13d0 0.22d0 0
1 3233.15d0 0.26d0 0
1 3368.50d0 0.31d0 0
1 3504.20d0 0.40d0 0
1 3640.35d0 0.52d0 0
2 2217.68d0 0.22d0 0
2 2352.20d0 0.31d0 0
2 2485.86d0 0.26d0 0
2 2619.67d0 0.25d0 0
2 2754.45d0 0.24d0 0
2 2889.54d0 0.24d0 0
2 3024.69d0 0.24d0 0
2 3159.80d0 0.28d0 0
2 3295.09d0 0.35d0 0
2 3430.81d0 0.47d0 0
2 3567.01d0 0.57d0 0
2 3703.30d0 0.89d0 0
T 5777.00d0 100.00d0 0
L 1.000d0 0.010d0 0
R 1.000d0 0.010d0 0
M 0.00d0 0.10d0 0
G 4.44d0 0.10d0 0
